age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,poutcome,y
26,management,single,tertiary,no,122,no,yes,cellular,8,jul,160,1,unknown,0
49,management,married,secondary,no,1623,yes,no,cellular,19,nov,1081,2,unknown,1
32,technician,single,secondary,no,674,yes,yes,cellular,15,apr,169,1,failure,0
34,management,married,tertiary,no,4131,yes,no,unknown,27,may,172,7,unknown,0
36,technician,married,secondary,no,186,yes,no,cellular,12,may,187,3,unknown,0
33,technician,single,tertiary,no,109,yes,yes,cellular,25,may,601,2,failure,1
38,blue-collar,married,primary,no,7944,no,no,unknown,17,jun,116,3,unknown,0
44,self-employed,divorced,secondary,no,8,no,no,cellular,26,jul,423,4,unknown,1
58,unemployed,married,secondary,no,1625,no,no,cellular,5,feb,286,2,unknown,1
28,admin.,single,secondary,no,352,yes,yes,cellular,18,may,431,1,unknown,1
30,blue-collar,single,tertiary,no,297,no,no,cellular,7,apr,465,4,unknown,1
74,retired,divorced,primary,no,29080,no,no,cellular,30,jun,301,5,other,1
74,retired,divorced,secondary,no,4079,no,no,cellular,19,oct,343,3,unknown,1
60,retired,married,secondary,no,1853,no,no,cellular,10,feb,234,1,success,1
54,admin.,divorced,secondary,no,0,yes,yes,cellular,4,feb,330,1,success,0
28,blue-collar,single,secondary,no,-127,yes,no,cellular,4,jul,1044,3,unknown,1
46,blue-collar,married,unknown,no,-619,yes,no,unknown,28,may,96,1,unknown,0
55,management,married,tertiary,no,3848,yes,no,cellular,8,apr,222,2,unknown,1
31,unemployed,single,secondary,no,2616,no,no,cellular,21,may,374,1,other,1
32,blue-collar,married,secondary,no,1484,yes,no,unknown,30,may,363,7,unknown,0
34,technician,single,secondary,no,4676,no,no,cellular,11,aug,248,3,unknown,0
31,blue-collar,married,secondary,no,671,yes,no,unknown,18,jun,704,4,unknown,1
42,technician,married,secondary,no,8899,yes,no,cellular,20,nov,75,2,unknown,0
56,management,married,tertiary,no,-45,yes,no,unknown,30,may,116,6,unknown,0
37,management,married,secondary,no,565,no,no,cellular,29,apr,449,1,success,1
34,management,married,tertiary,no,3050,yes,no,cellular,13,may,469,1,unknown,1
34,management,married,tertiary,no,443,no,no,cellular,18,jun,235,3,unknown,1
34,management,single,tertiary,no,1494,yes,no,cellular,18,nov,596,1,other,1
53,admin.,married,secondary,no,10541,no,no,cellular,9,feb,164,2,success,1
46,admin.,married,secondary,no,0,yes,no,cellular,8,sep,149,2,failure,0
31,blue-collar,married,secondary,no,2577,yes,no,unknown,13,may,611,2,unknown,0
50,admin.,married,secondary,no,326,yes,no,cellular,11,may,124,1,failure,0
70,retired,married,tertiary,no,44,no,no,cellular,18,sep,1104,2,other,1
46,technician,single,tertiary,no,4414,no,no,cellular,18,aug,504,7,unknown,1
35,technician,single,secondary,no,-196,yes,no,cellular,18,may,45,2,unknown,0
39,technician,married,secondary,no,251,yes,no,cellular,17,jul,342,2,unknown,1
32,unemployed,single,tertiary,no,336,yes,no,unknown,8,may,139,1,unknown,0
56,management,married,tertiary,no,3120,yes,no,cellular,7,aug,666,2,unknown,0
72,retired,married,primary,no,1612,no,no,cellular,7,aug,530,2,unknown,1
49,technician,married,tertiary,no,2611,no,no,cellular,20,apr,194,2,unknown,1
43,housemaid,married,primary,no,18,yes,yes,unknown,15,may,192,3,unknown,0
36,self-employed,married,secondary,no,188,yes,yes,cellular,4,may,1046,3,success,1
27,blue-collar,married,tertiary,no,335,yes,no,unknown,26,jun,519,3,unknown,1
64,retired,married,secondary,no,4787,no,no,cellular,28,apr,392,1,success,1
34,management,single,tertiary,no,5,no,no,cellular,18,aug,370,2,unknown,1
59,housemaid,married,tertiary,no,0,no,no,telephone,13,nov,494,1,unknown,1
44,blue-collar,single,primary,no,116,yes,no,unknown,15,may,160,1,unknown,0
31,self-employed,married,tertiary,no,229,no,no,cellular,29,jan,184,1,unknown,0
23,blue-collar,single,secondary,no,780,yes,no,cellular,15,may,416,1,unknown,1
50,admin.,divorced,secondary,no,381,no,no,cellular,5,feb,519,1,other,0
32,management,single,tertiary,no,1781,no,no,cellular,8,apr,321,1,unknown,1
42,services,married,secondary,no,774,no,no,cellular,28,jan,997,1,unknown,1
57,management,married,tertiary,no,350,no,no,telephone,4,may,87,3,unknown,0
26,blue-collar,single,secondary,no,1006,yes,no,cellular,14,may,667,1,unknown,1
40,blue-collar,married,primary,no,1802,yes,no,cellular,17,apr,326,1,failure,0
56,management,married,primary,no,199,yes,yes,cellular,4,feb,331,2,failure,0
27,management,single,secondary,no,843,no,no,cellular,8,jan,187,1,unknown,1
87,retired,married,primary,no,2190,no,no,telephone,12,jan,512,2,unknown,1
52,blue-collar,married,secondary,no,2276,no,no,unknown,20,jun,83,3,unknown,0
32,management,married,tertiary,no,794,yes,yes,cellular,9,jul,1014,1,unknown,1
40,technician,single,secondary,no,572,no,no,cellular,21,aug,971,2,unknown,0
39,services,married,secondary,no,52,no,no,telephone,2,feb,1420,3,unknown,1
67,retired,married,secondary,no,203,no,no,cellular,11,oct,405,1,success,1
29,blue-collar,married,secondary,yes,-643,yes,no,cellular,18,jul,277,1,unknown,0
38,services,married,secondary,no,4017,no,no,cellular,4,aug,470,1,success,1
37,technician,married,tertiary,no,247,no,no,cellular,20,aug,625,6,unknown,1
33,self-employed,divorced,secondary,no,1904,yes,no,cellular,17,jul,1584,2,unknown,1
42,blue-collar,married,primary,no,1556,no,yes,cellular,8,jul,113,1,unknown,0
32,blue-collar,single,primary,no,7,yes,no,cellular,13,may,109,1,unknown,0
27,admin.,single,secondary,no,428,no,yes,telephone,11,jul,321,2,unknown,0
27,technician,married,tertiary,no,77,yes,no,cellular,16,jul,143,1,unknown,0
38,blue-collar,divorced,secondary,no,1817,yes,no,cellular,28,jul,1096,4,unknown,1
39,management,single,tertiary,no,2454,yes,no,cellular,4,may,716,3,failure,1
35,services,married,secondary,no,44,yes,no,telephone,17,apr,377,2,unknown,0
31,management,single,tertiary,no,2907,yes,no,cellular,12,jul,248,1,failure,1
67,retired,divorced,tertiary,no,443,no,no,cellular,18,aug,441,1,unknown,1
46,blue-collar,married,secondary,no,961,yes,no,telephone,17,apr,48,2,unknown,0
55,technician,married,tertiary,no,-466,yes,no,cellular,15,may,901,1,unknown,1
32,technician,single,tertiary,no,6746,no,no,cellular,11,nov,199,1,unknown,1
27,student,single,secondary,no,253,no,no,cellular,25,may,242,2,unknown,1
67,retired,married,primary,no,2,no,no,cellular,28,oct,1118,1,unknown,0
34,services,single,secondary,no,-38,yes,no,cellular,7,may,48,1,unknown,0
59,management,married,tertiary,no,261,yes,yes,cellular,21,nov,124,1,unknown,0
53,blue-collar,divorced,primary,no,2656,yes,no,unknown,30,may,1980,2,unknown,1
38,technician,single,secondary,no,565,yes,no,cellular,30,apr,1143,1,unknown,1
33,entrepreneur,married,tertiary,no,12,yes,no,cellular,12,may,137,1,unknown,0
36,management,married,secondary,no,1160,yes,no,cellular,15,apr,56,1,failure,0
43,management,single,tertiary,no,946,no,no,telephone,28,aug,40,1,unknown,0
37,management,married,tertiary,no,0,no,no,cellular,16,jul,268,2,success,1
49,services,divorced,secondary,no,3649,yes,yes,unknown,15,may,150,1,unknown,0
44,blue-collar,married,primary,no,-82,no,yes,unknown,17,jun,181,1,unknown,0
28,blue-collar,single,secondary,no,759,yes,no,unknown,9,may,710,1,unknown,1
41,technician,married,secondary,no,64,yes,yes,unknown,8,may,210,2,unknown,0
41,blue-collar,married,primary,no,3140,yes,no,unknown,13,may,87,9,unknown,0
26,unemployed,single,tertiary,no,3466,no,no,cellular,6,oct,275,2,unknown,1
21,student,single,secondary,no,123,no,no,telephone,11,nov,513,1,success,1
52,blue-collar,married,primary,no,967,no,no,cellular,29,jan,153,2,unknown,0
47,blue-collar,married,secondary,no,7985,yes,no,unknown,29,may,347,1,unknown,0
29,technician,single,secondary,no,544,yes,no,unknown,13,may,360,1,unknown,0
32,management,divorced,tertiary,no,883,yes,no,cellular,10,dec,798,1,other,1
71,retired,married,primary,no,2600,no,no,cellular,7,aug,212,1,unknown,1
29,student,single,secondary,no,181,yes,no,cellular,23,jul,180,1,unknown,0
42,management,married,tertiary,no,144,no,no,cellular,4,mar,148,1,failure,1
39,management,single,tertiary,no,4023,yes,no,cellular,29,jan,126,2,other,0
31,self-employed,married,tertiary,no,5,yes,yes,cellular,21,nov,635,1,failure,1
30,admin.,single,secondary,no,1309,no,no,cellular,28,jan,622,1,unknown,1
48,services,divorced,secondary,no,858,yes,no,unknown,19,may,353,4,unknown,0
40,blue-collar,married,secondary,no,327,yes,no,unknown,29,may,134,1,unknown,0
74,retired,married,secondary,no,935,no,no,cellular,26,jan,100,1,other,0
58,admin.,married,secondary,no,3735,no,no,cellular,17,nov,91,2,unknown,0
24,student,single,secondary,no,1234,no,no,cellular,21,jul,314,1,success,1
47,technician,married,secondary,no,3466,yes,no,cellular,11,jul,853,2,unknown,1
30,self-employed,single,secondary,no,-617,no,yes,cellular,19,nov,925,1,unknown,1
35,housemaid,single,secondary,no,1015,yes,no,unknown,5,jun,406,2,unknown,1
36,blue-collar,single,secondary,no,3111,yes,no,unknown,20,may,445,2,unknown,0
56,admin.,married,secondary,no,382,no,no,cellular,20,apr,275,1,unknown,0
29,unemployed,single,primary,no,1374,no,no,cellular,14,may,1205,2,success,1
55,retired,divorced,tertiary,no,-458,yes,no,cellular,23,jul,1331,3,unknown,0
25,self-employed,single,tertiary,no,42,yes,no,cellular,5,jun,149,1,success,1
58,entrepreneur,married,primary,no,1657,no,no,unknown,6,jun,172,2,unknown,0
33,blue-collar,married,primary,no,331,yes,no,unknown,30,may,139,3,unknown,0
57,management,married,tertiary,no,830,yes,yes,cellular,8,may,662,1,success,1
50,technician,married,secondary,no,156,no,yes,cellular,14,jul,1130,3,unknown,1
31,management,single,secondary,no,1310,yes,no,cellular,18,may,12,2,unknown,0
41,services,single,primary,no,5907,yes,no,cellular,7,may,198,1,failure,0
39,admin.,married,secondary,no,0,no,no,cellular,27,jan,366,1,failure,1
45,management,married,secondary,no,25,no,no,cellular,29,jan,62,3,unknown,0
75,retired,divorced,secondary,no,1341,no,no,cellular,18,dec,415,7,unknown,1
27,blue-collar,single,secondary,no,-247,no,yes,cellular,22,jul,264,1,unknown,0
36,management,married,tertiary,no,925,no,no,cellular,14,dec,321,3,success,1
33,entrepreneur,married,tertiary,no,87,yes,yes,cellular,21,nov,141,4,unknown,0
57,unemployed,married,secondary,no,3754,no,no,cellular,5,feb,1063,2,unknown,1
45,blue-collar,divorced,secondary,no,-184,yes,no,cellular,7,may,878,3,failure,1
32,technician,single,tertiary,no,5514,no,no,cellular,22,apr,319,1,success,1
42,technician,married,secondary,no,525,no,no,cellular,17,nov,172,3,unknown,0
35,services,married,secondary,no,2135,no,no,unknown,11,jun,436,1,unknown,0
31,technician,married,secondary,no,671,no,no,cellular,2,feb,119,2,failure,0
48,admin.,divorced,unknown,no,244,yes,no,unknown,9,may,280,1,unknown,0
58,management,married,secondary,no,2155,no,yes,cellular,11,aug,248,2,success,1
43,admin.,divorced,tertiary,no,1440,yes,yes,cellular,21,nov,149,1,failure,0
36,blue-collar,single,secondary,no,340,no,yes,unknown,16,jun,559,3,unknown,0
38,housemaid,single,primary,no,199,yes,no,cellular,12,may,1203,1,failure,1
32,management,single,tertiary,no,2667,yes,no,cellular,12,aug,971,2,unknown,1
72,retired,married,primary,no,4657,no,no,telephone,23,mar,255,1,success,1
28,management,married,tertiary,no,17,yes,no,cellular,11,jul,16,2,unknown,0
27,student,single,tertiary,no,13107,yes,no,cellular,6,apr,661,1,failure,1
31,admin.,divorced,secondary,no,82,no,no,unknown,28,may,254,1,unknown,0
37,management,divorced,secondary,no,16,yes,no,unknown,30,may,638,1,unknown,1
39,blue-collar,single,secondary,no,0,no,no,cellular,22,jul,864,4,unknown,1
21,student,single,secondary,no,224,no,no,cellular,30,apr,871,1,unknown,1
47,housemaid,married,primary,no,0,no,no,cellular,10,aug,1225,2,unknown,0
39,management,married,tertiary,no,1598,yes,yes,unknown,27,may,87,3,unknown,0
49,management,married,secondary,no,0,no,no,unknown,9,jun,156,2,unknown,0
37,unemployed,single,tertiary,no,1291,no,no,cellular,5,aug,150,1,success,1
36,blue-collar,married,secondary,no,1049,yes,no,cellular,14,may,224,4,unknown,1
51,blue-collar,married,primary,no,129,yes,no,cellular,15,may,611,2,unknown,1
50,management,married,unknown,no,8345,no,no,unknown,11,jun,561,1,unknown,0
28,management,single,tertiary,no,866,no,no,cellular,23,mar,191,2,unknown,1
33,technician,married,secondary,no,133,no,no,cellular,12,nov,627,2,success,1
75,retired,divorced,secondary,no,105,no,no,cellular,14,apr,232,1,unknown,0
35,blue-collar,married,secondary,no,306,no,no,unknown,20,jun,12,8,unknown,0
56,retired,married,primary,no,9367,no,no,telephone,13,nov,271,2,success,1
25,unemployed,single,tertiary,no,343,no,no,cellular,1,jun,377,1,unknown,1
53,technician,married,tertiary,no,431,yes,no,cellular,5,may,55,1,failure,0
47,self-employed,married,tertiary,no,1917,no,no,unknown,20,jun,39,2,unknown,0
51,management,married,tertiary,no,2635,no,no,cellular,1,sep,181,1,failure,1
69,retired,married,primary,no,2398,no,no,cellular,12,apr,161,1,failure,0
50,blue-collar,married,primary,no,12519,yes,no,cellular,21,nov,615,3,failure,1
30,technician,single,secondary,no,930,no,no,cellular,2,jul,396,1,unknown,1
37,technician,married,secondary,no,77,yes,yes,cellular,21,nov,44,1,unknown,0
46,management,divorced,secondary,no,361,yes,no,unknown,19,may,86,7,unknown,0
51,blue-collar,married,primary,no,230,yes,no,cellular,17,nov,174,1,failure,0
30,blue-collar,married,secondary,no,187,yes,no,unknown,26,may,272,6,unknown,0
31,technician,married,tertiary,no,3382,no,no,cellular,30,apr,739,1,unknown,1
60,retired,divorced,secondary,no,514,no,no,cellular,15,oct,187,2,success,1
34,management,married,tertiary,no,2374,yes,yes,cellular,18,jun,270,2,failure,1
60,retired,married,tertiary,no,846,no,no,telephone,26,may,1346,1,unknown,1
26,technician,single,secondary,no,181,no,no,cellular,20,apr,158,2,unknown,1
34,services,single,secondary,no,4062,yes,yes,cellular,15,may,29,1,unknown,0
27,technician,single,tertiary,no,434,yes,no,unknown,13,jan,127,1,unknown,0
36,management,married,tertiary,no,630,no,no,cellular,2,feb,285,1,unknown,1
48,services,divorced,unknown,no,973,no,no,cellular,8,oct,319,1,success,1
30,unemployed,single,tertiary,no,1159,no,no,telephone,5,jun,366,1,unknown,1
52,entrepreneur,married,tertiary,no,618,yes,yes,unknown,14,may,166,2,unknown,0
28,blue-collar,single,secondary,no,643,no,no,cellular,3,jul,308,2,unknown,1
26,admin.,single,secondary,no,96,no,no,cellular,11,aug,349,1,failure,1
21,student,single,unknown,no,330,no,no,cellular,19,apr,232,3,failure,0
41,management,married,primary,no,5310,yes,no,cellular,17,nov,984,1,unknown,1
41,technician,married,secondary,no,493,yes,no,unknown,16,may,130,3,unknown,0
37,self-employed,married,secondary,yes,0,no,yes,cellular,21,jul,320,1,unknown,0
42,blue-collar,married,secondary,no,4900,yes,no,telephone,11,may,231,1,failure,0
36,technician,married,secondary,no,300,no,no,unknown,9,jun,287,1,unknown,0
31,blue-collar,married,secondary,no,-720,yes,yes,unknown,15,may,112,2,unknown,0
44,technician,married,tertiary,no,1818,yes,yes,cellular,3,feb,508,1,failure,1
34,technician,single,secondary,yes,-2,no,yes,cellular,8,jul,283,1,unknown,0
40,management,divorced,secondary,no,-626,yes,no,cellular,7,jul,140,4,unknown,0
54,technician,married,secondary,no,2102,yes,no,cellular,5,apr,547,1,failure,1
41,technician,married,secondary,no,0,no,no,unknown,20,jun,850,3,unknown,0
36,admin.,divorced,secondary,no,496,no,no,unknown,8,may,269,3,unknown,0
51,retired,divorced,primary,no,43,no,no,cellular,24,jul,212,2,unknown,0
44,admin.,married,secondary,no,6,no,yes,cellular,21,jul,114,2,unknown,0
27,admin.,divorced,secondary,no,112,yes,no,unknown,19,may,104,1,unknown,0
34,technician,single,tertiary,no,370,no,no,cellular,11,aug,116,2,unknown,0
53,management,married,tertiary,no,9072,no,no,cellular,18,nov,117,2,unknown,0
51,retired,married,tertiary,no,746,no,no,cellular,25,aug,372,5,unknown,1
41,technician,married,tertiary,no,725,yes,yes,unknown,27,may,87,3,unknown,0
34,management,married,tertiary,no,1433,no,no,cellular,8,aug,170,3,unknown,0
35,technician,single,secondary,no,183,no,no,cellular,23,oct,281,1,failure,1
27,admin.,married,tertiary,no,2855,no,no,cellular,22,jul,138,2,success,1
26,admin.,married,secondary,no,710,yes,yes,unknown,6,jun,1276,2,unknown,1
27,management,single,tertiary,no,20585,no,no,cellular,15,jun,188,1,unknown,1
40,blue-collar,married,secondary,no,95,no,yes,unknown,20,jun,61,4,unknown,0
26,student,single,secondary,no,119,no,no,cellular,3,feb,247,3,unknown,0
25,management,single,tertiary,no,1317,no,no,cellular,26,may,176,1,unknown,1
52,technician,divorced,secondary,no,1005,yes,no,cellular,2,jun,195,1,unknown,1
68,retired,divorced,primary,no,476,no,no,telephone,28,jun,363,1,unknown,1
26,management,single,tertiary,no,114,yes,no,cellular,7,may,457,1,unknown,1
43,management,divorced,secondary,no,51,no,no,cellular,2,feb,430,1,unknown,1
42,blue-collar,married,secondary,no,-972,yes,no,unknown,29,may,146,1,unknown,0
58,management,married,tertiary,no,4152,yes,no,cellular,30,apr,750,2,other,1
35,management,married,tertiary,no,5057,yes,no,unknown,4,jun,193,10,unknown,0
42,entrepreneur,married,secondary,no,0,yes,no,cellular,9,apr,331,1,failure,1
44,management,married,tertiary,no,226,yes,no,cellular,14,aug,190,3,failure,1
28,admin.,single,secondary,no,697,yes,no,cellular,7,may,404,2,unknown,0
40,admin.,single,secondary,no,-109,yes,yes,unknown,6,may,170,1,unknown,0
60,retired,married,secondary,no,374,no,no,cellular,19,aug,276,2,unknown,0
30,services,married,secondary,no,9531,no,no,cellular,21,nov,105,4,unknown,0
40,blue-collar,married,primary,no,442,yes,no,cellular,1,apr,212,1,unknown,0
32,management,single,tertiary,no,12686,yes,no,unknown,3,jun,54,1,unknown,0
22,student,single,primary,no,3472,no,no,cellular,20,oct,332,1,failure,1
29,entrepreneur,married,secondary,no,291,yes,no,unknown,2,jun,205,3,unknown,0
35,technician,married,tertiary,no,1354,no,no,cellular,2,jun,250,2,unknown,1
50,management,married,tertiary,no,0,no,no,unknown,11,jun,916,1,unknown,0
55,retired,divorced,tertiary,no,0,no,no,cellular,18,may,616,1,success,1
54,management,married,tertiary,no,8295,no,no,cellular,2,oct,849,2,success,1
38,technician,married,secondary,no,6728,no,no,cellular,25,nov,232,1,success,1
18,student,single,unknown,no,108,no,no,cellular,10,aug,167,1,unknown,1
24,student,married,unknown,no,146,no,no,cellular,16,apr,176,1,unknown,0
37,blue-collar,married,unknown,no,1508,no,yes,unknown,6,jun,381,2,unknown,1
37,management,married,tertiary,no,355,no,no,cellular,4,aug,340,1,unknown,0
31,admin.,married,secondary,no,352,no,no,telephone,28,oct,60,1,unknown,0
63,retired,divorced,secondary,no,1490,no,no,cellular,8,jun,506,1,unknown,1
49,admin.,married,secondary,no,284,yes,no,cellular,6,aug,131,3,unknown,0
37,technician,married,secondary,no,0,yes,no,cellular,22,apr,1288,3,unknown,1
77,retired,married,tertiary,no,7802,no,no,telephone,1,feb,483,2,unknown,1
33,management,divorced,tertiary,no,1,yes,no,cellular,5,feb,26,8,other,0
53,management,married,tertiary,no,15,no,no,cellular,20,aug,921,2,unknown,1
51,retired,married,primary,no,67,no,no,unknown,18,jun,835,1,unknown,1
35,management,married,tertiary,no,2387,yes,yes,unknown,2,jun,289,2,unknown,0
35,blue-collar,married,secondary,no,860,yes,no,unknown,5,jun,884,4,unknown,1
54,admin.,married,secondary,no,426,yes,no,cellular,17,apr,74,2,failure,0
35,admin.,married,secondary,no,4698,yes,no,unknown,16,jun,359,1,unknown,0
44,management,single,tertiary,no,5063,no,no,cellular,27,oct,418,2,unknown,1
27,management,married,tertiary,no,5262,no,yes,cellular,8,jul,201,9,unknown,0
33,entrepreneur,married,primary,no,2339,yes,yes,cellular,20,nov,220,1,unknown,0
35,technician,married,secondary,no,14,yes,no,telephone,18,nov,23,1,unknown,0
39,technician,single,secondary,no,1355,yes,no,cellular,14,may,1180,1,unknown,1
23,student,single,tertiary,no,0,no,no,cellular,10,aug,213,1,unknown,1
34,admin.,married,secondary,no,247,no,no,cellular,8,oct,401,2,unknown,1
41,technician,single,secondary,no,5329,no,no,cellular,14,jul,397,2,unknown,1
60,unemployed,married,primary,no,0,no,no,cellular,22,jul,1193,1,other,1
30,technician,single,secondary,no,710,no,no,cellular,14,aug,306,8,unknown,0
30,services,divorced,secondary,no,704,yes,no,cellular,25,jul,524,10,unknown,0
55,unemployed,divorced,secondary,no,309,no,no,cellular,20,apr,167,1,success,1
26,technician,single,tertiary,no,401,no,no,cellular,5,may,188,2,unknown,1
42,blue-collar,married,primary,no,480,yes,no,unknown,6,jun,288,12,unknown,0
43,services,married,secondary,no,94,yes,yes,telephone,5,nov,68,1,unknown,0
36,blue-collar,married,secondary,no,330,yes,no,cellular,13,may,777,2,unknown,0
31,management,single,tertiary,no,96,no,no,cellular,29,aug,63,2,unknown,0
52,admin.,married,secondary,no,1228,yes,yes,cellular,4,aug,218,1,unknown,1
33,technician,married,secondary,no,3071,yes,yes,cellular,20,nov,46,2,failure,0
62,management,married,tertiary,no,1859,no,no,telephone,6,aug,245,3,unknown,1
63,retired,married,secondary,no,3579,no,no,telephone,11,nov,93,2,unknown,0
31,management,married,tertiary,no,6138,no,no,cellular,19,jun,241,5,unknown,0
51,admin.,married,tertiary,no,0,yes,yes,cellular,8,mar,124,2,unknown,1
36,management,married,tertiary,no,0,yes,no,cellular,8,may,308,3,unknown,1
62,management,married,tertiary,no,2785,no,no,cellular,6,jul,270,3,unknown,1
63,admin.,divorced,secondary,no,4680,no,no,cellular,15,sep,953,2,unknown,1
39,admin.,divorced,secondary,no,728,yes,yes,cellular,18,oct,222,1,unknown,1
42,management,married,tertiary,no,187,no,no,cellular,11,aug,64,1,unknown,0
35,management,divorced,tertiary,no,1723,yes,no,cellular,25,jul,862,1,unknown,1
62,retired,married,primary,no,1742,no,no,cellular,14,jun,167,2,other,1
45,blue-collar,divorced,primary,no,844,no,no,unknown,5,jun,1018,3,unknown,1
56,blue-collar,married,primary,no,409,yes,no,telephone,7,jul,176,6,unknown,0
53,blue-collar,married,primary,no,570,no,no,cellular,20,aug,158,4,unknown,0
33,blue-collar,married,secondary,no,3458,yes,no,cellular,20,apr,54,1,unknown,0
38,blue-collar,married,primary,no,1495,yes,no,unknown,2,jun,74,3,unknown,0
44,blue-collar,single,secondary,no,0,yes,no,cellular,15,apr,442,1,unknown,0
31,management,single,tertiary,no,533,no,no,cellular,12,nov,90,3,success,1
35,services,married,secondary,no,341,yes,no,cellular,14,may,345,1,unknown,1
31,services,married,secondary,no,272,yes,no,unknown,13,may,133,12,unknown,0
27,management,single,tertiary,no,6791,no,no,telephone,22,mar,174,2,success,0
38,admin.,married,secondary,no,1949,yes,no,cellular,15,may,157,3,unknown,0
44,blue-collar,married,secondary,yes,105,yes,no,cellular,20,apr,586,1,unknown,1
55,management,married,tertiary,no,6880,no,no,cellular,8,aug,353,2,unknown,0
46,management,single,tertiary,no,479,yes,no,unknown,26,may,34,3,unknown,0
32,management,married,tertiary,no,1390,no,no,cellular,7,aug,116,2,unknown,0
38,blue-collar,married,primary,no,5839,yes,no,unknown,4,jun,984,2,unknown,1
37,blue-collar,married,primary,no,213,no,yes,unknown,5,jun,323,1,unknown,0
52,admin.,married,secondary,no,70,yes,no,unknown,3,jun,68,2,unknown,0
50,blue-collar,married,primary,no,111,yes,no,telephone,15,may,8,6,other,0
27,management,single,tertiary,no,831,no,no,cellular,30,mar,1081,2,unknown,1
26,blue-collar,single,secondary,no,277,no,no,unknown,14,may,514,2,unknown,0
48,management,married,tertiary,no,1167,yes,yes,cellular,26,jan,122,4,other,0
25,student,single,secondary,no,154,no,no,cellular,3,mar,141,1,failure,1
40,unemployed,single,tertiary,no,7968,no,no,cellular,2,jun,596,1,unknown,1
42,blue-collar,married,secondary,no,88,yes,no,cellular,12,may,53,2,unknown,0
43,blue-collar,divorced,primary,no,3550,no,no,cellular,20,nov,1154,1,unknown,1
33,admin.,married,secondary,no,920,no,no,cellular,30,apr,344,1,unknown,1
27,blue-collar,single,secondary,no,535,no,no,cellular,16,aug,265,3,success,1
59,management,married,tertiary,no,5397,no,no,cellular,23,sep,244,1,success,1
45,blue-collar,married,secondary,no,103,no,no,unknown,18,jun,48,1,unknown,0
47,housemaid,married,secondary,no,2524,no,no,cellular,12,oct,105,1,unknown,1
32,student,married,secondary,no,1536,no,no,cellular,7,aug,289,2,unknown,1
50,blue-collar,married,secondary,no,0,no,no,cellular,30,jul,144,9,unknown,0
27,services,single,secondary,no,339,no,no,cellular,4,jun,182,1,unknown,1
35,blue-collar,single,secondary,no,142,yes,no,cellular,20,nov,155,1,unknown,0
38,services,married,primary,yes,1,yes,no,cellular,17,jul,169,7,unknown,0
52,unemployed,married,tertiary,no,2133,no,yes,cellular,18,jul,90,1,unknown,0
33,blue-collar,married,primary,no,1165,yes,no,unknown,21,may,420,2,unknown,0
40,technician,single,primary,no,340,yes,no,unknown,29,may,146,1,unknown,0
33,technician,married,secondary,no,6419,no,no,cellular,7,aug,419,3,unknown,0
27,admin.,single,secondary,no,292,yes,no,cellular,12,may,53,9,other,0
40,unemployed,married,primary,no,69,no,yes,cellular,4,feb,171,1,unknown,0
52,unknown,married,unknown,no,1317,no,no,unknown,12,jun,58,1,unknown,0
79,retired,married,unknown,no,0,no,no,telephone,8,jul,167,1,unknown,0
38,blue-collar,single,primary,no,-5,yes,no,unknown,21,may,30,12,unknown,0
47,technician,married,secondary,no,1219,no,no,cellular,18,aug,697,4,unknown,1
37,technician,married,tertiary,no,127,yes,no,cellular,25,aug,192,1,success,1
51,blue-collar,married,primary,no,565,yes,yes,cellular,5,may,157,7,failure,0
23,student,single,secondary,no,1298,no,no,cellular,14,jul,603,1,unknown,1
31,management,married,tertiary,no,792,no,no,cellular,20,aug,763,14,unknown,1
28,admin.,single,secondary,no,19,no,no,cellular,8,jul,78,4,unknown,0
38,technician,married,tertiary,no,3234,no,no,cellular,18,nov,578,2,unknown,1
53,admin.,married,tertiary,no,5094,no,no,cellular,5,aug,114,1,unknown,0
28,blue-collar,married,primary,no,5542,yes,no,cellular,16,apr,404,1,unknown,0
32,management,married,tertiary,no,312,no,no,cellular,11,aug,67,4,unknown,0
46,management,single,secondary,no,5993,no,no,cellular,20,may,165,1,failure,0
57,blue-collar,married,secondary,no,5935,yes,yes,unknown,5,may,258,1,unknown,0
37,management,divorced,tertiary,no,488,yes,no,cellular,17,sep,328,1,failure,1
46,services,married,secondary,no,216,yes,no,unknown,6,may,524,2,unknown,0
46,services,married,secondary,no,1381,yes,no,cellular,22,may,115,3,failure,0
36,blue-collar,single,secondary,no,206,yes,no,cellular,5,may,17,6,unknown,0
33,services,single,secondary,no,1646,yes,no,telephone,7,may,317,2,unknown,0
31,admin.,single,secondary,no,19,yes,no,cellular,18,nov,1978,1,unknown,1
41,blue-collar,single,secondary,yes,-386,no,yes,cellular,20,nov,477,1,unknown,1
48,services,divorced,primary,no,927,no,no,unknown,6,jun,201,6,unknown,0
48,management,married,tertiary,no,1808,yes,no,cellular,26,feb,245,1,unknown,1
29,management,single,tertiary,no,697,no,no,cellular,30,apr,365,1,success,1
25,technician,single,secondary,no,325,no,no,cellular,22,oct,716,3,unknown,1
38,management,divorced,tertiary,no,1927,yes,yes,cellular,29,jan,527,1,unknown,0
42,technician,married,secondary,no,769,no,no,cellular,6,feb,187,2,failure,0
